kor_co_nm,fin_prdt_nm,join_way,pnsn_kind_nm,prdt_type_nm,dcls_rate,guar_rate,btrm_prft_rate_1,btrm_prft_rate_2,btrm_prft_rate_3,etc,pnsn_recp_trm_nm,pnsn_entr_age_nm,mon_paym_atm_nm,paym_prd_nm,pnsn_strt_age_nm,etc_available,etc_clean,search_text
삼성화재해상보험주식회사,연금저축손해보험 삼성화재 연금보험 아름다운생활Ⅱ(2004.11),모집인,연금저축보험(손해),금리연동형,1.6,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축손해보험 삼성화재 연금보험 아름다운생활Ⅱ(2004.11)
금융회사: 삼성화재해상보험주식회사
연금종류: 연금저축보험(손해)
상품유형: 금리연동형
공시이율: 1.6%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 모집인"
메리츠화재해상보험주식회사,연금저축손해보험 메리츠 연금보험2001,기타,연금저축보험(손해),금리연동형,1.5,,-4.15,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축손해보험 메리츠 연금보험2001
금융회사: 메리츠화재해상보험주식회사
연금종류: 연금저축보험(손해)
상품유형: 금리연동형
공시이율: 1.5%
최저보증이율: nan%
과거수익률1년: -4.15%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 기타"
교보라이프플래닛생명보험주식회사,무배당라이프플래닛e연금저축보험Ⅱ(유니버셜),"인터넷,스마트폰",연금저축보험(생명),금리연동형,2.5,,,,,목표연금페이스메이커서비스신청가능,10년 확정,30세,"100,000원",10년,60세,True,목표연금페이스메이커서비스신청가능,"상품명: 무배당라이프플래닛e연금저축보험Ⅱ(유니버셜)
금융회사: 교보라이프플래닛생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.5%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 인터넷,스마트폰"
KDB생명보험주식회사,연금저축무배당KDB다이렉트연금보험,인터넷,연금저축보험(생명),금리연동형,2.8,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축무배당KDB다이렉트연금보험
금융회사: KDB생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.8%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 인터넷"
삼성생명보험주식회사,삼성생명인터넷연금저축보험2.1(무배당),인터넷,연금저축보험(생명),금리연동형,2.35,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 삼성생명인터넷연금저축보험2.1(무배당)
금융회사: 삼성생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.35%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 인터넷"
현대해상화재보험주식회사,연금저축손해보험 현대해상다이렉트연금보험(Hi2004),인터넷,연금저축보험(손해),금리연동형,1.5,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축손해보험 현대해상다이렉트연금보험(Hi2004)
금융회사: 현대해상화재보험주식회사
연금종류: 연금저축보험(손해)
상품유형: 금리연동형
공시이율: 1.5%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 인터넷"
동양생명보험주식회사,연금저축수호천사온라인더블파워연금보험,"인터넷,스마트폰",연금저축보험(생명),금리연동형,2.02,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축수호천사온라인더블파워연금보험
금융회사: 동양생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.02%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 인터넷,스마트폰"
하나생명보험주식회사,(무)하나e연금저축보험,,연금저축보험(생명),금리연동형,2.72,,,,,"121회차 이상납입시 장기납입보너스(0.5%) 적립,중도인출 가능",10년 확정,30세,"100,000원",10년,60세,True,"121회차 이상납입시 장기납입보너스(0.5%) 적립,중도인출 가능","상품명: (무)하나e연금저축보험
금융회사: 하나생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.72%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: nan"
하나생명보험주식회사,(무)하나원큐연금저축보험,,연금저축보험(생명),금리연동형,2.72,,,,,"121회차 이상납입시 장기납입보너스(0.5%) 적립,중도인출 가능",10년 확정,30세,"100,000원",10년,60세,True,"121회차 이상납입시 장기납입보너스(0.5%) 적립,중도인출 가능","상품명: (무)하나원큐연금저축보험
금융회사: 하나생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.72%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: nan"
주식회사KB손해보험,연금저축손해보험 KB멀티플러스연금보험(20.04),"영업점,모집인",연금저축보험(손해),금리연동형,1.5,,1.55,1.6,1.6,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축손해보험 KB멀티플러스연금보험(20.04)
금융회사: 주식회사KB손해보험
연금종류: 연금저축보험(손해)
상품유형: 금리연동형
공시이율: 1.5%
최저보증이율: nan%
과거수익률1년: 1.55%
과거수익률2년: 1.6%
과거수익률3년: 1.6%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,모집인"
롯데손해보험주식회사,연금저축손해보험 롯데 명품 연금보험(2004),모집인,연금저축보험(손해),금리연동형,1.6,,1.6,1.65,1.7,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축손해보험 롯데 명품 연금보험(2004)
금융회사: 롯데손해보험주식회사
연금종류: 연금저축보험(손해)
상품유형: 금리연동형
공시이율: 1.6%
최저보증이율: nan%
과거수익률1년: 1.6%
과거수익률2년: 1.65%
과거수익률3년: 1.7%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 모집인"
한화손해보험주식회사,연금저축손해보험 골드연금보험2004,"영업점,모집인",연금저축보험(손해),금리연동형,1.55,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축손해보험 골드연금보험2004
금융회사: 한화손해보험주식회사
연금종류: 연금저축보험(손해)
상품유형: 금리연동형
공시이율: 1.55%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,모집인"
아이비케이연금보험 주식회사,무배당IBKe-세액공제연금저축보험_2007,영업점,연금저축보험(생명),금리연동형,2.55,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 무배당IBKe-세액공제연금저축보험_2007
금융회사: 아이비케이연금보험 주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.55%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
아이비케이연금보험 주식회사,무배당IBK인터넷세액공제연금저축보험_2007,인터넷,연금저축보험(생명),금리연동형,2.55,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 무배당IBK인터넷세액공제연금저축보험_2007
금융회사: 아이비케이연금보험 주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.55%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 인터넷"
하나생명보험주식회사,(무)하나플러스연금저축보험,영업점,연금저축보험(생명),금리연동형,2.72,,,,,"121회차 이상 납입시 장기납입보너스(0.5%) 적립,행복한보너스 대상자에 해당되는 경우 행복한보너스(0.5%) 적립,중도인출 가능",10년 확정,30세,"100,000원",10년,60세,True,"121회차 이상 납입시 장기납입보너스(0.5%) 적립,행복한보너스 대상자에 해당되는 경우 행복한보너스(0.5%) 적립,중도인출 가능","상품명: (무)하나플러스연금저축보험
금융회사: 하나생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.72%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
농협생명보험주식회사,세테크NH연금저축보험(무배당),"영업점,모집인",연금저축보험(생명),금리연동형,2.2,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 세테크NH연금저축보험(무배당)
금융회사: 농협생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.2%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,모집인"
교보라이프플래닛생명보험주식회사,무배당라이프플래닛b연금저축보험Ⅱ,기타,연금저축보험(생명),금리연동형,2.5,,,,,목표연금페이스메이커서비스신청가능,10년 확정,30세,"100,000원",10년,60세,True,목표연금페이스메이커서비스신청가능,"상품명: 무배당라이프플래닛b연금저축보험Ⅱ
금융회사: 교보라이프플래닛생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.5%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 기타"
하나손해보험주식회사,연금저축손해보험 The큰행복연금보험(2004),"모집인,전화(텔레뱅킹)",연금저축보험(손해),금리연동형,1.55,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축손해보험 The큰행복연금보험(2004)
금융회사: 하나손해보험주식회사
연금종류: 연금저축보험(손해)
상품유형: 금리연동형
공시이율: 1.55%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 모집인,전화(텔레뱅킹)"
한화생명보험주식회사,한화생명 b연금저축보험 무배당,,연금저축보험(생명),금리연동형,2.37,,,,,지정대리청구서비스특약,10년 확정,30세,"100,000원",10년,60세,True,지정대리청구서비스특약,"상품명: 한화생명 b연금저축보험 무배당
금융회사: 한화생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.37%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: nan"
흥국화재해상보험주식회사,연금저축손해보험 흥국화재 행복디딤돌보험(20.04),모집인,연금저축보험(손해),금리연동형,1.55,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축손해보험 흥국화재 행복디딤돌보험(20.04)
금융회사: 흥국화재해상보험주식회사
연금종류: 연금저축보험(손해)
상품유형: 금리연동형
공시이율: 1.55%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 모집인"
아이비케이연금보험 주식회사,무배당IBK세액공제연금저축보험_2007,영업점,연금저축보험(생명),금리연동형,2.55,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 무배당IBK세액공제연금저축보험_2007
금융회사: 아이비케이연금보험 주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.55%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
교보생명보험주식회사,연금저축교보First연금보험,영업점,연금저축보험(생명),금리연동형,2.2,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축교보First연금보험
금융회사: 교보생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.2%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
한화생명보험주식회사,한화생명 연금저축 스마트하이드림연금보험,영업점,연금저축보험(생명),금리연동형,2.05,,,,,"연금전환특약, 지정대리청구서비스특약",10년 확정,30세,"100,000원",10년,60세,True,"연금전환특약, 지정대리청구서비스특약","상품명: 한화생명 연금저축 스마트하이드림연금보험
금융회사: 한화생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.05%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
동양생명보험주식회사,연금저축수호천사더블파워연금보험,모집인,연금저축보험(생명),금리연동형,2.02,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축수호천사더블파워연금보험
금융회사: 동양생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.02%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 모집인"
메리츠화재해상보험주식회사,연금저축손해보험 노후생활지킴이보험2004,"영업점,모집인",연금저축보험(손해),금리연동형,1.5,,-6.66,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축손해보험 노후생활지킴이보험2004
금융회사: 메리츠화재해상보험주식회사
연금종류: 연금저축보험(손해)
상품유형: 금리연동형
공시이율: 1.5%
최저보증이율: nan%
과거수익률1년: -6.66%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,모집인"
DB손해보험주식회사,연금저축손해보험 유배당 다이렉트 연금보험2004(CM),인터넷,연금저축보험(손해),금리연동형,1.5,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축손해보험 유배당 다이렉트 연금보험2004(CM)
금융회사: DB손해보험주식회사
연금종류: 연금저축보험(손해)
상품유형: 금리연동형
공시이율: 1.5%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 인터넷"
삼성생명보험주식회사,삼성생명연금저축골드연금보험B2.8,영업점,연금저축보험(생명),금리연동형,2.01,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 삼성생명연금저축골드연금보험B2.8
금융회사: 삼성생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.01%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
교보생명보험주식회사,연금저축교보연금보험,모집인,연금저축보험(생명),금리연동형,2.2,,,,,,10년 확정,30세,"100,000원",20년,60세,False,,"상품명: 연금저축교보연금보험
금융회사: 교보생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.2%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 20년
연금개시연령: 60세
가입방법: 모집인"
현대해상화재보험주식회사,연금저축손해보험 노후웰스보험(Hi2004),모집인,연금저축보험(손해),금리연동형,1.5,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축손해보험 노후웰스보험(Hi2004)
금융회사: 현대해상화재보험주식회사
연금종류: 연금저축보험(손해)
상품유형: 금리연동형
공시이율: 1.5%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 모집인"
아이비케이연금보험 주식회사,무배당IBK세액공제받는연금저축보험_2007,모집인,연금저축보험(생명),금리연동형,2.55,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 무배당IBK세액공제받는연금저축보험_2007
금융회사: 아이비케이연금보험 주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.55%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 모집인"
에이비엘생명보험주식회사,연금저축 나이스플랜연금보험2004(60세),모집인,연금저축보험(생명),금리연동형,2.05,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축 나이스플랜연금보험2004(60세)
금융회사: 에이비엘생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.05%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 모집인"
한화생명보험주식회사,한화생명 연금저축 하이드림연금보험(1종),모집인,연금저축보험(생명),금리연동형,2.05,,,,,"연금전환특약, 지정대리청구서비스특약, 단체취급특약",10년 확정,30세,"100,000원",10년,60세,True,"연금전환특약, 지정대리청구서비스특약, 단체취급특약","상품명: 한화생명 연금저축 하이드림연금보험(1종)
금융회사: 한화생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.05%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 모집인"
삼성생명보험주식회사,삼성생명연금저축골드연금보험2.6,모집인,연금저축보험(생명),금리연동형,2.01,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 삼성생명연금저축골드연금보험2.6
금융회사: 삼성생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.01%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 모집인"
신한라이프생명보험주식회사,(무)신한연금저축보험Premium,"영업점,인터넷,스마트폰,모집인",연금저축보험(생명),금리연동형,2.38,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: (무)신한연금저축보험Premium
금융회사: 신한라이프생명보험주식회사
연금종류: 연금저축보험(생명)
상품유형: 금리연동형
공시이율: 2.38%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인"
DB손해보험주식회사,연금저축손해보험 스마트 연금보험2004,모집인,연금저축보험(손해),금리연동형,1.5,,,,,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 연금저축손해보험 스마트 연금보험2004
금융회사: DB손해보험주식회사
연금종류: 연금저축보험(손해)
상품유형: 금리연동형
공시이율: 1.5%
최저보증이율: nan%
과거수익률1년: nan%
과거수익률2년: nan%
과거수익률3년: nan%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 모집인"
