kor_co_nm,fin_prdt_nm,join_way,mtrt_int,spcl_cnd,join_deny,join_member,etc_note,max_limit,save_trm,intr_rate,intr_rate2,search_text
광주은행,스마트모아Dream정기예금,"인터넷,스마트폰","*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 일반정기예금 고시금리의 1/2 
*만기후 1개월 초과: 0.01%",▶ 1천만원 이상 가입시 최대 0.2%우대,1,개인 및 개인사업자,"1. 가입기간 : 1개월이상 3년제
2. 최소가입금액 : 100만원이상",,1,2.01,2.11,"상품명: 스마트모아Dream정기예금
금융회사: 광주은행
기본금리: 2.01%
최고금리: 2.11%
저축기간: 1개월
최고한도: nan
우대조건: ▶ 1천만원 이상 가입시 최대 0.2%우대
가입제한: 1
가입대상: 개인 및 개인사업자
가입방법: 인터넷,스마트폰"
광주은행,굿스타트예금,스마트폰,"*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 일반정기예금 고시금리의 1/2 
*만기후 1개월 초과: 0.01%","▶ 최고우대금리 0.5% 
 ① 첫예금거래 : 0.4% -최근1년동안 정기예금 계좌 신규 또는 해지이력이 없는경우
 ② 개인(신용)정보 수집이용동의 : 0.1% -만기일전일까지 유지시",1,개인 및 개인사업자,"1. 가입기간 : 1년제
2. 가입금액 : 1백만원이상 최고 1억원(1인1계좌)",100000000.0,12,2.07,2.57,"상품명: 굿스타트예금
금융회사: 광주은행
기본금리: 2.07%
최고금리: 2.57%
저축기간: 12개월
최고한도: 100000000.0
우대조건: ▶ 최고우대금리 0.5% 
 ① 첫예금거래 : 0.4% -최근1년동안 정기예금 계좌 신규 또는 해지이력이 없는경우
 ② 개인(신용)정보 수집이용동의 : 0.1% -만기일전일까지 유지시
가입제한: 1
가입대상: 개인 및 개인사업자
가입방법: 스마트폰"
광주은행,The플러스예금,"영업점,스마트폰","*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 일반정기예금 고시금리의 1/2 
*만기후 1개월 초과: 0.01%",▶ 해당사항없음,1,"개인 및 법인(단,국가 지자체 및 금융기관 제외)","1. 가입기간 : 3개월,6개월,1년제
2. 가입금액 : 10백만원이상 고객당 10억원한도",1000000000.0,3,2.55,2.55,"상품명: The플러스예금
금융회사: 광주은행
기본금리: 2.55%
최고금리: 2.55%
저축기간: 3개월
최고한도: 1000000000.0
우대조건: ▶ 해당사항없음
가입제한: 1
가입대상: 개인 및 법인(단,국가 지자체 및 금융기관 제외)
가입방법: 영업점,스마트폰"
제주은행,"제주Dream
정기예금
(개인/만기
지급식)","영업점,인터넷,스마트폰","- 만기후 1개월 이내 : (일반)정기예금 기본이자율의 50%
(단, 최저금리 0.1%)
- 만기후 1개월 초과 3개월 이내 : (일반)정기예금 기본이자율의 25%
(단, 최저금리 0.1%)
- 만기후 3개월 초과 : 0.1%","최고 연 0.1%p(항목별 0.1%p)
①급여이체
②적립식예금 잔액 10만원 이상 보유
③탑스, 주거래 고객
④결제계좌(가맹점) 전월 입금액 10만원 이상 
⑤비과세종합저축 대상 고객
⑥다자녀(3인이상 자녀)가정
⑦탐나는 J연금통장 가입고객
⑧국민연금안심통장 가입고객
⑨공무원연금안심통장 가입고객",1,제한없음,가입금액 : 1백만원 이상,,1,2.0,2.1,"상품명: 제주Dream
정기예금
(개인/만기
지급식)
금융회사: 제주은행
기본금리: 2.0%
최고금리: 2.1%
저축기간: 1개월
최고한도: nan
우대조건: 최고 연 0.1%p(항목별 0.1%p)
①급여이체
②적립식예금 잔액 10만원 이상 보유
③탑스, 주거래 고객
④결제계좌(가맹점) 전월 입금액 10만원 이상 
⑤비과세종합저축 대상 고객
⑥다자녀(3인이상 자녀)가정
⑦탐나는 J연금통장 가입고객
⑧국민연금안심통장 가입고객
⑨공무원연금안심통장 가입고객
가입제한: 1
가입대상: 제한없음
가입방법: 영업점,인터넷,스마트폰"
제주은행,"J정기예금
(만기지급식)","영업점,인터넷,스마트폰","- 만기후 1개월 이내 : (일반)정기예금 기본이자율의 50%
(단, 최저금리 0.1%)
- 만기후 1개월 초과 3개월 이내 : (일반)정기예금 기본이자율의 25%
(단, 최저금리 0.1%)
- 만기후 3개월 초과 : 0.1%","- 아래의 우대요건 충족시 최고 0.5%p 추가 우대 
①비대면 채널 가입시 0.3%제공(신규시제공)  
(단, 이벤트시 디지털 채널에 고시한 우대금리를 추가 적용할 수 있음)
②신규일로부터 만기달 제외한 계약기간의 1/2이상 매월 Jbank로그인 시 0.2%제공(만기시제공)",1,"실명의 
개인 및 
개인사업자",가입금액 : 30만원 이상,,1,1.4,2.6,"상품명: J정기예금
(만기지급식)
금융회사: 제주은행
기본금리: 1.4%
최고금리: 2.6%
저축기간: 1개월
최고한도: nan
우대조건: - 아래의 우대요건 충족시 최고 0.5%p 추가 우대 
①비대면 채널 가입시 0.3%제공(신규시제공)  
(단, 이벤트시 디지털 채널에 고시한 우대금리를 추가 적용할 수 있음)
②신규일로부터 만기달 제외한 계약기간의 1/2이상 매월 Jbank로그인 시 0.2%제공(만기시제공)
가입제한: 1
가입대상: 실명의 
개인 및 
개인사업자
가입방법: 영업점,인터넷,스마트폰"
제주은행,"스마일드림 
정기예금
(개인/선이자
지급식)","영업점,스마트폰","- 만기후 1개월 이내 : (일반)정기예금 기본이자율의 50%
(단, 최저금리 0.1%)
- 만기후 1개월 초과 3개월 이내 : (일반)정기예금 기본이자율의 25%
(단, 최저금리 0.1%)
- 만기후 3개월 초과 : 0.1%","-아래의 우대요건 충족시 최고0.3% 추가우대(신규시제공)
①김만덕나눔적금 보유 또는 김만적 나눔적금 만기 해지고객 0.2%우대(가입시제공)
②예금가입시 탐나는전 체크카드 보유고객 0.1%우대(가입시제공)
(단, 이벤트시 영업점,디지털채널에 고시한 우대금리를 추가 적용할 수 있음)",1,"실명의
개인 및 
개인사업자",가입금액 : 1백만원 이상,,3,1.7,2.55,"상품명: 스마일드림 
정기예금
(개인/선이자
지급식)
금융회사: 제주은행
기본금리: 1.7%
최고금리: 2.55%
저축기간: 3개월
최고한도: nan
우대조건: -아래의 우대요건 충족시 최고0.3% 추가우대(신규시제공)
①김만덕나눔적금 보유 또는 김만적 나눔적금 만기 해지고객 0.2%우대(가입시제공)
②예금가입시 탐나는전 체크카드 보유고객 0.1%우대(가입시제공)
(단, 이벤트시 영업점,디지털채널에 고시한 우대금리를 추가 적용할 수 있음)
가입제한: 1
가입대상: 실명의
개인 및 
개인사업자
가입방법: 영업점,스마트폰"
전북은행,"JB 다이렉트예금통장
(만기일시지급식)","인터넷,스마트폰","만기후 1개월 이하 : 만기일 현재 계약기간별 정기예금 실행이율 1/2
만기후 1개월 초과 : 연 0.01%","우대조건
없음",1,실명의 개인(임의단체 제외,"가입금액 1계좌당 1백만원이상 10억원이하,
1인당  총 10억원 이하,
인터넷/스마트폰뱅킹 가입상품",1000000000.0,3,2.65,2.65,"상품명: JB 다이렉트예금통장
(만기일시지급식)
금융회사: 전북은행
기본금리: 2.65%
최고금리: 2.65%
저축기간: 3개월
최고한도: 1000000000.0
우대조건: 우대조건
없음
가입제한: 1
가입대상: 실명의 개인(임의단체 제외
가입방법: 인터넷,스마트폰"
전북은행,"JB 123 정기예금
 (만기일시지급식)","인터넷,스마트폰","만기후 1개월 이하 : 만기일 현재 계약기간별 정기예금 실행이율 1/2
만기후 1개월 초과 : 연 0.01%","자동재예치 우대이율
1회차 0.1%,
2회차 0.2%,
3회차 0.3%",1,실명의 개인 또는 개인사업자 (1인 다계좌 가입 가능함),"예금의 신규 : 인터넷뱅킹, 모바일뱅킹, 모바일웹, BDT
예금의 해지 : 인터넷뱅킹, 모바일뱅킹, 영업점
가입금액 최저 1백만원이상 고객별 5억원 이상 (다만 자동재예치시 이자 원가로 인한 5억원 초과는 가능), 계좌수 관계없이 가입가능",500000000.0,12,2.5,2.5,"상품명: JB 123 정기예금
 (만기일시지급식)
금융회사: 전북은행
기본금리: 2.5%
최고금리: 2.5%
저축기간: 12개월
최고한도: 500000000.0
우대조건: 자동재예치 우대이율
1회차 0.1%,
2회차 0.2%,
3회차 0.3%
가입제한: 1
가입대상: 실명의 개인 또는 개인사업자 (1인 다계좌 가입 가능함)
가입방법: 인터넷,스마트폰"
전북은행,내맘 쏙 정기예금,"인터넷,스마트폰","만기후 1개월 이하 : 만기일 현재 계약기간별 정기예금 실행이율 1/2
만기후 1개월 초과 : 연 0.01%","1. 모바일뱅킹 첫거래 고객 0.10%
2. 마케팅동의고객 0.10%
3. 입출금계좌 이용고객 0.10%",1,실명의 개인 및 개인사업자,"가입금액 : 계좌당 10만원 이상
예금의 신규 : 모바일뱅킹, 모바일Web
예금의 해지 : 모바일뱅킹, 인터넷뱅킹, 영업점
계약기간 : 1개월이상 12개월이내(월단위)",999999999999.0,1,2.0,2.3,"상품명: 내맘 쏙 정기예금
금융회사: 전북은행
기본금리: 2.0%
최고금리: 2.3%
저축기간: 1개월
최고한도: 999999999999.0
우대조건: 1. 모바일뱅킹 첫거래 고객 0.10%
2. 마케팅동의고객 0.10%
3. 입출금계좌 이용고객 0.10%
가입제한: 1
가입대상: 실명의 개인 및 개인사업자
가입방법: 인터넷,스마트폰"
경남은행,BNK더조은정기예금,"인터넷,스마트폰","만기 후 1개월 이내: 일반정기예금 기본이율 Ⅹ50%
만기 후 1개월 초과: 일반정기예금 기본이율 Ⅹ20%","①가입금액 20백만원 이상인 경우 0.20%
②이 예금 신규시 금리우대쿠폰 등록할 경우 0.20% 
③ 경남은행 오픈뱅킹 서비스에 가입되어 있는 경우
(만기시까지 해당서비스 유지하는 경우) 0.10%
④ 자동재예치 신청 0.05%
(단 금리우대쿠폰과 중복적용 불가)",1,"거래대상자는 제한을 두지 아니한다. 다만, 국가 및 지방자치단체는 이 예금을 거래할 수 없다.","1. 이 예금의 계약기간은 3개월 이상 2년 이내 월단위로 한다.
2. 가입금액은 1인당 최소 100만원 이상 5억원 이하이다.",500000000.0,3,2.0,2.5,"상품명: BNK더조은정기예금
금융회사: 경남은행
기본금리: 2.0%
최고금리: 2.5%
저축기간: 3개월
최고한도: 500000000.0
우대조건: ①가입금액 20백만원 이상인 경우 0.20%
②이 예금 신규시 금리우대쿠폰 등록할 경우 0.20% 
③ 경남은행 오픈뱅킹 서비스에 가입되어 있는 경우
(만기시까지 해당서비스 유지하는 경우) 0.10%
④ 자동재예치 신청 0.05%
(단 금리우대쿠폰과 중복적용 불가)
가입제한: 1
가입대상: 거래대상자는 제한을 두지 아니한다. 다만, 국가 및 지방자치단체는 이 예금을 거래할 수 없다.
가입방법: 인터넷,스마트폰"
경남은행,The든든예금(시즌2),스마트폰,"만기 후 1개월 이내: 일반정기예금 기본이율 Ⅹ50%
만기 후 1개월 초과: 일반정기예금 기본이율 Ⅹ20%","①마케팅동의 및 모바일메세지 수신동의 0.05%
②신규고객 우대(최근 12개월 신규이력·해지이력 미보유) 0.10%
③이벤트금리(비대면금리) 최대 0.60%
   (3, 6개월 0.55% / 12개월 0.60%)",1,개인,"1. 이 예금의 계약기간은 3개월, 6개월, 12개월로 한다.
2. 가입좌수 제한없으며, 가입금액은 1인당 최소 100만원 이상 10억원 이하이다.",1000000000.0,3,2.05,2.65,"상품명: The든든예금(시즌2)
금융회사: 경남은행
기본금리: 2.05%
최고금리: 2.65%
저축기간: 3개월
최고한도: 1000000000.0
우대조건: ①마케팅동의 및 모바일메세지 수신동의 0.05%
②신규고객 우대(최근 12개월 신규이력·해지이력 미보유) 0.10%
③이벤트금리(비대면금리) 최대 0.60%
   (3, 6개월 0.55% / 12개월 0.60%)
가입제한: 1
가입대상: 개인
가입방법: 스마트폰"
경남은행,The파트너예금,스마트폰,"만기 후 1개월 이내: 일반정기예금 기본이율 Ⅹ50%
만기 후 1개월 초과: 일반정기예금 기본이율 Ⅹ20%","①경남은행 거래기간 5년이상 + 마케팅동의 고객 0.20%
②급여, 연금, 가맹점대금 입금 시 0.10%
③당행 카드 결제실적 보유 시 0.10%",1,개인,"1. 이 예금의 계약기간은 6개월, 12개월, 24개월로 한다.
2. 가입좌수 제한없으며, 가입금액은 1인당 최소 100만원 이상 10억원 이하이다.",1000000000.0,6,2.2,2.6,"상품명: The파트너예금
금융회사: 경남은행
기본금리: 2.2%
최고금리: 2.6%
저축기간: 6개월
최고한도: 1000000000.0
우대조건: ①경남은행 거래기간 5년이상 + 마케팅동의 고객 0.20%
②급여, 연금, 가맹점대금 입금 시 0.10%
③당행 카드 결제실적 보유 시 0.10%
가입제한: 1
가입대상: 개인
가입방법: 스마트폰"
중소기업은행,IBK평생한가족통장(실세금리정기예금),"영업점,인터넷,스마트폰",만기일 당시 정기예금 만기후 이자율 적용 -1개월 이내: 만기일 당시 계약기간별 고시금리×50% -1월 초과 6개월 이내: 만기일 당시 계약기간별 고시금리×30% -6개월 초과: 만기일 당시 계약기간별 고시금리×20%,"최고 연 0.20%p

-고객별 우대 : 최고 연 0.05%p
 1. 최초신규고객 : 연 0.05%p
 2. 재예치고객 : 연 0.05%p
 3. 장기거래고객 : 연 0.05%p

-주거래우대 : 연 0.15%p",1,"실명의 개인
(개인사업자 제외)","계좌 수 제한 없으며, 최소 1백만원 이상 통합한도 1억원 이내 가입 가능",100000000.0,12,2.25,2.45,"상품명: IBK평생한가족통장(실세금리정기예금)
금융회사: 중소기업은행
기본금리: 2.25%
최고금리: 2.45%
저축기간: 12개월
최고한도: 100000000.0
우대조건: 최고 연 0.20%p

-고객별 우대 : 최고 연 0.05%p
 1. 최초신규고객 : 연 0.05%p
 2. 재예치고객 : 연 0.05%p
 3. 장기거래고객 : 연 0.05%p

-주거래우대 : 연 0.15%p
가입제한: 1
가입대상: 실명의 개인
(개인사업자 제외)
가입방법: 영업점,인터넷,스마트폰"
중소기업은행,IBK더굴리기통장(실세금리정기예금),"인터넷,스마트폰",만기일 당시 정기예금 만기후 이자율 적용 -1개월 이내: 만기일 당시 계약기간별 고시금리×50% -1월 초과 6개월 이내: 만기일 당시 계약기간별 고시금리×30% -6개월 초과: 만기일 당시 계약기간별 고시금리×20%,없음,1,"실명의 개인
(개인사업자 제외)","계좌 수 제한 없으며, 최소 1백만원 이상 납입한도 제한 없음",,6,2.19,2.19,"상품명: IBK더굴리기통장(실세금리정기예금)
금융회사: 중소기업은행
기본금리: 2.19%
최고금리: 2.19%
저축기간: 6개월
최고한도: nan
우대조건: 없음
가입제한: 1
가입대상: 실명의 개인
(개인사업자 제외)
가입방법: 인터넷,스마트폰"
중소기업은행,IBK굴리기통장(정기예금),"영업점,스마트폰",만기일 당시 정기예금 만기후 이자율 적용 -1개월 이내: 만기일 당시 계약기간별 고시금리×50% -1월 초과 6개월 이내: 만기일 당시 계약기간별 고시금리×30% -6개월 초과: 만기일 당시 계약기간별 고시금리×20%,없음,1,"실명의 개인
(개인사업자 제외)","계좌 수 제한 없으며, 최소 1백만원 이상 통합한도 3억원 이내 가입 가능",300000000.0,1,2.17,2.17,"상품명: IBK굴리기통장(정기예금)
금융회사: 중소기업은행
기본금리: 2.17%
최고금리: 2.17%
저축기간: 1개월
최고한도: 300000000.0
우대조건: 없음
가입제한: 1
가입대상: 실명의 개인
(개인사업자 제외)
가입방법: 영업점,스마트폰"
한국산업은행,KDB 정기예금,"영업점,인터넷,스마트폰","* 만기후 1년 이내 : 만기일 현재 고시된 일반 정기예금 해당기간 기본이율의 1/2
* 만기후 1년 초과 : 만기일 현재 고시된 보통예금 이자율",해당없음,1,제한없음,해당없음,,1,2.5,2.5,"상품명: KDB 정기예금
금융회사: 한국산업은행
기본금리: 2.5%
최고금리: 2.5%
저축기간: 1개월
최고한도: nan
우대조건: 해당없음
가입제한: 1
가입대상: 제한없음
가입방법: 영업점,인터넷,스마트폰"
국민은행,KB Star 정기예금,"인터넷,스마트폰","- 1개월 이내 : 기본이율 X 50%
- 1개월 초과  ~ 3개월 이내 : 기본이율 X 30%
- 3개월 초과 : 0.1%",해당무,1,실명의 개인 또는 개인사업자,- 가입금액 : 1백만원 이상,,1,1.8,2.45,"상품명: KB Star 정기예금
금융회사: 국민은행
기본금리: 1.8%
최고금리: 2.45%
저축기간: 1개월
최고한도: nan
우대조건: 해당무
가입제한: 1
가입대상: 실명의 개인 또는 개인사업자
가입방법: 인터넷,스마트폰"
