kor_co_nm,fin_prdt_nm,join_way,crdt_prdt_type_nm,crdt_lend_rate_type_nm,crdt_grad_1,crdt_grad_4,crdt_grad_5,crdt_grad_6,crdt_grad_10,crdt_grad_11,crdt_grad_avg,search_text
삼호저축은행,개인신용대출,"영업점,인터넷,모집인",일반신용대출,,,16.9,17.51,17.0,,,17.6,"상품명: 개인신용대출
금융회사: 삼호저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: nan%
- 801-900점: 16.9%
- 701-800점: 17.51%
- 601-700점: 17.0%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 17.6%
가입방법: 영업점,인터넷,모집인"
엔에이치저축은행,개인신용대출,"인터넷,스마트폰",일반신용대출,,7.92,8.31,9.64,10.43,,,9.34,"상품명: 개인신용대출
금융회사: 엔에이치저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 7.92%
- 801-900점: 8.31%
- 701-800점: 9.64%
- 601-700점: 10.43%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 9.34%
가입방법: 인터넷,스마트폰"
IBK저축은행,개인신용대출,"인터넷,스마트폰,모집인",일반신용대출,,14.16,14.73,15.39,,,,15.14,"상품명: 개인신용대출
금융회사: IBK저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 14.16%
- 801-900점: 14.73%
- 701-800점: 15.39%
- 601-700점: nan%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 15.14%
가입방법: 인터넷,스마트폰,모집인"
BNK저축은행,개인신용대출,,일반신용대출,,12.95,13.2,14.32,14.35,15.24,,13.92,"상품명: 개인신용대출
금융회사: BNK저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 12.95%
- 801-900점: 13.2%
- 701-800점: 14.32%
- 601-700점: 14.35%
- 501-600점: 15.24%
- 401-500점: nan%
평균금리: 13.92%
가입방법: nan"
KB저축은행,개인신용대출,"인터넷,스마트폰,모집인,기타",일반신용대출,,10.9,11.95,14.31,16.48,17.46,,13.87,"상품명: 개인신용대출
금융회사: KB저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 10.9%
- 801-900점: 11.95%
- 701-800점: 14.31%
- 601-700점: 16.48%
- 501-600점: 17.46%
- 401-500점: nan%
평균금리: 13.87%
가입방법: 인터넷,스마트폰,모집인,기타"
하나저축은행,개인신용대출,"인터넷,스마트폰",일반신용대출,,10.59,11.57,12.62,13.02,,,12.45,"상품명: 개인신용대출
금융회사: 하나저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 10.59%
- 801-900점: 11.57%
- 701-800점: 12.62%
- 601-700점: 13.02%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 12.45%
가입방법: 인터넷,스마트폰"
JT친애저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",일반신용대출,,15.51,14.35,14.47,14.47,,,14.46,"상품명: 개인신용대출
금융회사: JT친애저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 15.51%
- 801-900점: 14.35%
- 701-800점: 14.47%
- 601-700점: 14.47%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 14.46%
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
신한저축은행,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",일반신용대출,,13.17,15.17,15.57,15.78,16.82,,15.49,"상품명: 개인신용대출
금융회사: 신한저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 13.17%
- 801-900점: 15.17%
- 701-800점: 15.57%
- 601-700점: 15.78%
- 501-600점: 16.82%
- 401-500점: nan%
평균금리: 15.49%
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
웰컴저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",일반신용대출,,14.62,16.34,16.65,16.53,19.4,,18.35,"상품명: 개인신용대출
금융회사: 웰컴저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 14.62%
- 801-900점: 16.34%
- 701-800점: 16.65%
- 601-700점: 16.53%
- 501-600점: 19.4%
- 401-500점: nan%
평균금리: 18.35%
가입방법: 인터넷,스마트폰,모집인,전화(텔레뱅킹)"
OK저축은행,개인신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",일반신용대출,,16.1,15.85,16.94,18.12,19.84,19.99,16.95,"상품명: 개인신용대출
금융회사: OK저축은행
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 16.1%
- 801-900점: 15.85%
- 701-800점: 16.94%
- 601-700점: 18.12%
- 501-600점: 19.84%
- 401-500점: 19.99%
평균금리: 16.95%
가입방법: 인터넷,스마트폰,모집인,전화(텔레뱅킹),기타"
한화생명보험주식회사,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",일반신용대출,,7.53,9.19,9.8,,,,8.46,"상품명: 개인신용대출
금융회사: 한화생명보험주식회사
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 7.53%
- 801-900점: 9.19%
- 701-800점: 9.8%
- 601-700점: nan%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 8.46%
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
삼성생명보험주식회사,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",일반신용대출,,7.53,9.19,9.8,,,,8.46,"상품명: 개인신용대출
금융회사: 삼성생명보험주식회사
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 7.53%
- 801-900점: 9.19%
- 701-800점: 9.8%
- 601-700점: nan%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 8.46%
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
흥국생명보험주식회사,개인신용대출,"영업점,인터넷,스마트폰,모집인",일반신용대출,,7.53,9.19,9.8,,,,8.46,"상품명: 개인신용대출
금융회사: 흥국생명보험주식회사
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 7.53%
- 801-900점: 9.19%
- 701-800점: 9.8%
- 601-700점: nan%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 8.46%
가입방법: 영업점,인터넷,스마트폰,모집인"
교보생명보험주식회사,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",일반신용대출,,7.53,9.19,9.8,,,,8.46,"상품명: 개인신용대출
금융회사: 교보생명보험주식회사
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 7.53%
- 801-900점: 9.19%
- 701-800점: 9.8%
- 601-700점: nan%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 8.46%
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
신한라이프생명보험주식회사,개인신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",일반신용대출,,7.53,9.19,9.8,,,,8.46,"상품명: 개인신용대출
금융회사: 신한라이프생명보험주식회사
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 7.53%
- 801-900점: 9.19%
- 701-800점: 9.8%
- 601-700점: nan%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 8.46%
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
미래에셋생명보험주식회사,개인신용대출,"영업점,인터넷,스마트폰",일반신용대출,,7.53,9.19,9.8,,,,8.46,"상품명: 개인신용대출
금융회사: 미래에셋생명보험주식회사
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 7.53%
- 801-900점: 9.19%
- 701-800점: 9.8%
- 601-700점: nan%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 8.46%
가입방법: 영업점,인터넷,스마트폰"
삼성화재해상보험주식회사,직장인신용,스마트폰,일반신용대출,,6.32,7.51,8.82,,,,7.12,"상품명: 직장인신용
금융회사: 삼성화재해상보험주식회사
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 6.32%
- 801-900점: 7.51%
- 701-800점: 8.82%
- 601-700점: nan%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 7.12%
가입방법: 스마트폰"
농협생명보험주식회사,개인신용대출,"영업점,모집인",일반신용대출,,7.53,9.19,9.8,,,,8.46,"상품명: 개인신용대출
금융회사: 농협생명보험주식회사
대출유형: 일반신용대출
금리유형: nan
신용등급별금리:
- 900점초과: 7.53%
- 801-900점: 9.19%
- 701-800점: 9.8%
- 601-700점: nan%
- 501-600점: nan%
- 401-500점: nan%
평균금리: 8.46%
가입방법: 영업점,모집인"
